country,target domain,CLS,LCP,FID,OSI,category
UK,https://www.economybookings.com/,0.0036,1480.929,294,1814,car rentals
UK,https://login.microsoftonline.com/96eb113a-138d-4d7e-988c-a0f8c8685f5d/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=7F367503955F0F7B1E835ECA0655C245618C1BD79964A44F%2D4424A051997241BE6612E344ACA41E0BF2B11158DCEB584B9140040BD5F18D17&redirect%5Furi=https%3A%2F%2Fwebgainsltd%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=be6c7ca1%2D30f2%2Db000%2D4b15%2D5e0bd9a07ff4&sso_reload=true,0.0176,1511.194,71,1256.8,car rentals
UK,https://holidaystravel.info/,0.0014,1691.6545,114,2490.2,car rentals
UK,https://login.microsoftonline.com/dbd7887d-30fb-4706-8f4b-3cee2404e731/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=410FB872C688ED38EB9DF95C4F17CDFDE5172E74A5328625%2D2014A36EDEF51CC837E4E6F4073CAA525DF2857998733B304CCEEDDA8AF62EAF&redirect%5Furi=https%3A%2F%2Fprmediaco%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=be6c7ca1%2De034%2Db000%2D6053%2D1d085af916ff&sso_reload=true,0.0194,1575.9935,26,1289.1,car rentals
UK,https://login.microsoftonline.com/5644ed12-fa20-4533-9bbd-eb72eb418521/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=2DE82FD4C4933131DA25F5BDC3CD18E6505B8B1BEEA43185%2D9935BD7335E3BCFC334E99CF514DEC7393481FBD8C9A0A4539E1A1277E87B533&redirect%5Furi=https%3A%2F%2Fbuiltvisible%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=bf6c7ca1%2D4059%2Db000%2D8eee%2D2129dbcc7436&sso_reload=true,0.0182,1536.38,129,1270.5,car rentals
UK,https://login.microsoftonline.com/e48b9d1e-4c8c-4b9d-bee3-4fc2cad916b7/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=1196625425C2178F53B29B5E06F40C3DDAE1666F429A8920%2D41CF1493FA9551F2F2B7FF3824EEDFD4ACCDB0E8C0A611EB86315DBE2308256A&redirect%5Furi=https%3A%2F%2Fpewsey%2Dmy%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=be6c7ca1%2Db02e%2Db000%2D7a94%2D1f3dda1f71df&sso_reload=true,0.0181,1209.438,27,1139,car rentals
US,https://www.nationalcar.com/en/home.html?action=emcIndex,0.08705,2654.7745,171,3261.14253,car rentals
US,https://login.microsoftonline.com/56c2fd5c-4e8f-495b-8125-81afd26e798d/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=056DAA10F2C456CB3C6570C658166CF00258123455D06565%2D5DE971C14B68AECE4400A822276741CE498A4A910CA0D57DF857CCF6F8D257AA&redirect%5Furi=https%3A%2F%2Fflyspirit%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=51727ca1%2D20af%2D7000%2Ddc1a%2D2de511e06183&sso_reload=true,0.01819,1754.817,43,1269.80157,car rentals
US,https://www.hertz.co.uk/rentacar/reservation/,0.07657,3586.0495,409,3736.9765,car rentals
US,https://www.enterprise.co.uk/en/home.html,0.01209,2504.7008,393,4328.9726,car rentals
